Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2023-07-14 05:08:07,false,"Quan Thanh Khe Cycling","19.85","330","00:55:27","127","151","2.9","--","--","21.5","27.0","18","24","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","12:41.75","4","32.0","00:54:54","00:55:50","-7","1"
Yoga,2023-07-10 05:49:31,false,"Yoga","0.00","77","00:21:16","100","131","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","21:15.64","1","32.0","00:00:00","00:21:16","--","--"
Running,2023-07-10 05:10:36,false,"Quan Thanh Khe Running","2.63","151","00:26:14","137","145","2.0","157","178","9:59","8:14","--","4","0.65","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","07:12.70","3","31.0","00:26:13","00:26:14","29","34"
Yoga,2023-07-05 05:49:59,false,"Yoga","0.00","64","00:16:43","101","131","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","16:43.30","1","33.0","00:00:00","00:16:43","--","--"
Running,2023-07-05 05:19:15,false,"Quan Thanh Khe Running","2.71","161","00:26:12","135","146","2.1","145","178","9:41","7:46","--","5","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","08:02.65","3","31.0","00:25:56","00:26:12","28","34"
Walking,2023-07-04 05:34:56,false,"Quan Thanh Khe Walking","2.71","147","00:34:14","80","103","0.8","70","151","12:38","10:31","1","3","1.20","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","08:46.24","3","32.0","00:33:40","00:34:14","-37","-32"
Yoga,2023-06-29 06:02:44,false,"Yoga","0.00","76","00:14:01","117","149","0.9","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","14:01.15","1","33.0","00:00:00","00:14:01","--","--"
Running,2023-06-29 05:12:00,false,"Quan Hai Chau Running","5.19","316","00:50:05","144","156","2.2","164","180","9:39","6:59","1","6","0.65","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","03:57.17","6","32.0","00:49:01","00:50:05","28","35"
Running,2023-06-27 05:13:33,false,"Quan Thanh Khe Running","7.35","448","01:01:57","152","166","3.0","172","184","8:26","7:07","3","13","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","04:08.55","8","31.0","01:01:54","01:01:57","21","34"
Cycling,2023-06-26 05:11:00,false,"Quan Thanh Khe Cycling","20.04","339","00:50:27","133","152","2.5","--","--","23.8","27.9","11","18","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","00:22.72","5","31.0","00:50:02","00:51:01","1","10"
Running,2023-06-23 05:13:34,false,"Quan Hai Chau Running","5.20","316","00:44:12","145","162","2.7","171","184","8:30","6:49","1","8","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","02:23.89","6","32.0","00:44:10","00:44:12","30","34"
Yoga,2023-06-21 06:22:31,false,"Yoga","0.00","66","00:14:37","107","119","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","14:37.13","1","33.0","00:00:00","00:14:37","--","--"
Running,2023-06-21 05:14:03,false,"Quan Thanh Khe Running","7.43","445","01:04:57","144","165","2.8","172","186","8:44","6:26","6","12","0.67","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","04:54.26","8","33.0","01:04:53","01:04:57","27","34"
Running,2023-06-20 05:15:56,false,"Quan Thanh Khe Running","7.45","448","01:05:09","147","172","2.8","170","184","8:45","6:02","3","13","0.68","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","04:54.99","8","33.0","01:05:08","01:05:09","23","34"
Running,2023-06-19 05:10:02,false,"Quan Hai Chau Running","5.17","325","00:41:35","149","169","3.2","174","184","8:03","6:51","--","9","0.72","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","02:12.29","6","31.0","00:41:35","00:41:35","23","34"
Yoga,2023-06-14 06:10:19,false,"Yoga","0.00","64","00:14:45","105","124","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","14:44.91","1","33.0","00:00:00","00:14:45","--","--"
Running,2023-06-14 05:18:58,false,"Quan Hai Chau Running","5.18","315","00:45:07","147","161","2.5","173","186","8:42","6:59","2","9","0.68","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","02:20.07","6","33.0","00:44:58","00:45:07","25","34"
Yoga,2023-06-13 06:05:21,false,"Yoga","0.00","73","00:13:42","114","132","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","13:41.54","1","33.0","00:00:00","00:13:42","--","--"
Running,2023-06-13 05:00:02,false,"Quan Thanh Khe Running","7.34","445","01:04:54","145","168","2.7","173","186","8:51","6:46","2","9","0.66","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","03:27.56","8","32.0","01:04:52","01:04:54","25","35"
Cycling,2023-06-12 05:12:06,false,"Quan Thanh Khe Cycling","20.19","352","00:50:40","133","147","2.6","--","--","23.9","29.0","13","19","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","00:40.58","5","32.0","00:50:34","00:50:40","-7","1"
Yoga,2023-06-08 06:22:54,false,"Yoga","0.00","78","00:14:50","114","138","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","14:50.27","1","32.0","00:00:00","00:14:50","--","--"
Running,2023-06-08 05:14:08,false,"Quan Hai Chau Running","7.46","458","01:03:46","146","173","3.0","171","188","8:33","6:16","4","16","0.69","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","05:09.93","8","31.0","01:03:45","01:03:46","23","34"
Yoga,2023-06-06 06:09:37,false,"Yoga","0.00","94","00:16:12","119","137","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","16:12.03","1","33.0","00:00:00","00:16:12","--","--"
Running,2023-06-06 05:02:45,false,"Quan Hai Chau Running","7.46","453","01:04:52","146","174","2.9","170","186","8:42","6:21","2","12","0.69","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","04:52.64","8","31.0","01:04:50","01:04:52","26","34"
Yoga,2023-06-03 06:34:14,false,"Yoga","0.00","80","00:16:04","111","133","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","16:04.15","1","33.0","00:00:00","00:16:04","--","--"
Running,2023-06-03 04:53:41,false,"Quan Hai Chau Running","10.50","627","01:34:47","147","167","2.6","172","184","9:02","6:41","2","13","0.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","06:01.69","11","33.0","01:34:44","01:34:47","23","34"
Cycling,2023-06-01 18:03:50,false,"Quan Hai Chau Cycling","7.75","117","00:21:57","113","134","1.4","--","--","21.2","28.4","2","9","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","07:32.34","2","33.0","00:21:42","00:24:17","-8","--"
Cycling,2023-06-01 07:24:17,false,"Quan Thanh Khe Cycling","7.62","176","00:21:54","138","157","2.9","--","--","20.9","30.1","6","3","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","08:00.24","2","36.0","00:21:50","00:22:04","-1","4"
Running,2023-06-01 05:16:16,false,"Quan Hai Chau Running","7.48","457","01:04:55","148","177","3.1","171","188","8:41","5:48","3","14","0.68","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","04:46.78","8","32.0","01:04:53","01:04:55","20","34"
Cycling,2023-05-31 19:21:14,false,"Quan Hai Chau Cycling","7.69","126","00:21:25","118","138","2.0","--","--","21.6","29.8","5","8","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","07:33.12","2","31.0","00:21:02","00:21:58","11","15"
Cycling,2023-05-31 07:19:46,false,"Quan Thanh Khe Cycling","7.63","145","00:21:06","127","140","2.3","--","--","21.7","28.7","5","7","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","07:22.61","2","35.0","00:20:51","00:21:06","13","19"
Running,2023-05-30 05:21:08,false,"Quan Hai Chau Running","5.20","325","00:44:15","149","173","3.2","171","186","8:30","6:03","2","10","0.70","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","02:25.75","6","31.0","00:44:12","00:44:15","25","34"
Cycling,2023-05-29 18:24:26,false,"Quan Hai Chau Cycling","7.75","118","00:21:59","114","132","1.7","--","--","21.1","27.5","4","10","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","07:30.89","2","32.0","00:21:51","00:22:18","6","12"
Cycling,2023-05-29 07:21:39,false,"Quan Thanh Khe Cycling","7.60","146","00:21:41","126","140","2.3","--","--","21.0","28.4","2","3","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","07:48.42","2","31.0","00:21:12","00:22:45","9","14"
Running,2023-05-26 05:22:00,false,"Quan Thanh Khe Running","5.17","315","00:43:32","145","168","3.3","171","188","8:25","6:44","2","11","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","02:12.40","6","31.0","00:43:31","00:43:32","24","34"
Yoga,2023-05-24 06:09:40,false,"Yoga","0.00","62","00:12:15","111","134","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","12:14.95","1","33.0","00:00:00","00:12:15","--","--"
Running,2023-05-24 05:22:05,false,"Quan Thanh Khe Running","5.18","316","00:42:50","145","169","3.5","173","188","8:16","0:47","3","8","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","02:07.60","6","31.0","00:42:50","00:42:50","29","34"
Running,2023-05-23 05:20:30,false,"Quan Hai Chau Running","5.17","312","00:43:23","145","167","3.3","170","241","8:23","6:16","4","7","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","02:05.08","6","32.0","00:43:22","00:43:23","30","34"
Yoga,2023-05-20 06:57:13,false,"Yoga","0.00","83","00:15:12","116","136","1.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","15:11.54","1","33.0","00:00:00","00:15:12","--","--"
Running,2023-05-20 05:14:59,false,"Quan Hai Chau Running","10.14","604","01:30:59","147","168","3.3","174","182","8:59","6:37","5","18","0.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","01:49.35","11","32.0","01:30:56","01:30:59","22","34"
Yoga,2023-05-19 06:07:01,false,"Yoga","0.00","76","00:14:10","115","130","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","14:09.53","1","33.0","00:00:00","00:14:10","--","--"
Running,2023-05-19 05:17:56,false,"Quan Thanh Khe Running","5.18","311","00:45:14","146","167","3.2","169","182","8:44","6:47","1","10","0.68","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","02:12.66","6","32.0","00:45:12","00:45:14","24","34"
Running,2023-05-17 05:25:44,false,"Quan Hai Chau Running","5.17","317","00:46:43","147","168","3.1","170","184","9:02","6:03","1","11","0.66","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","02:04.32","6","32.0","00:46:42","00:46:43","24","34"
Yoga,2023-05-16 06:04:45,false,"Yoga","0.00","74","00:13:03","117","143","1.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","13:03.30","1","33.0","00:00:00","00:13:03","--","--"
Running,2023-05-16 05:06:23,false,"Quan Thanh Khe Running","6.23","385","00:58:02","146","169","3.1","159","180","9:19","6:54","5","11","0.70","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","04:18.89","7","31.0","00:57:29","00:58:02","13","23"
Running,2023-05-11 05:16:11,false,"Quan Hai Chau Running","5.07","301","00:45:35","145","160","2.7","173","180","8:59","7:25","1","8","0.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","00:47.57","6","31.0","00:45:33","00:45:35","25","34"
Running,2023-05-09 05:14:49,false,"Quan Thanh Khe Running","2.48","149","00:21:30","141","151","2.5","173","178","8:39","7:04","--","5","0.67","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","04:30.78","3","31.0","00:21:29","00:21:30","28","34"
Walking,2023-05-08 05:19:03,false,"Quan Thanh Khe Walking","3.05","168","00:40:47","104","128","0.8","22","154","13:23","10:31","1","10","3.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","00:39.39","4","33.0","00:40:29","00:40:47","-9","1"
Cycling,2023-04-25 05:07:21,false,"Quan Thanh Khe Cycling","21.97","360","01:01:47","126","161","2.4","--","--","21.3","35.2","87","98","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","05:55.73","5","32.0","01:01:16","01:15:03","-99","-61"
Cycling,2023-04-24 05:04:39,false,"Quan Thanh Khe Cycling","19.85","298","00:56:29","122","146","1.8","--","--","21.1","25.4","14","23","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","13:13.03","4","31.0","00:55:02","00:58:43","-84","-72"
Yoga,2023-04-16 10:32:06,false,"Yoga","0.00","56","00:15:10","99","117","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","15:09.91","1","28.0","00:00:00","00:15:10","--","--"
Running,2023-04-16 03:00:45,false,"Hue Running","42.44","2,719","05:53:34","165","182","4.3","166","244","8:20","6:12","80","109","0.72","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","03:23.27","43","32.0","05:53:02","05:53:34","-33","3"
Yoga,2023-04-14 06:13:38,false,"Yoga","0.00","73","00:15:33","108","141","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","15:32.89","1","33.0","00:00:00","00:15:33","--","--"
Running,2023-04-14 05:19:23,false,"Quan Thanh Khe Running","5.19","340","00:40:38","156","171","3.2","174","186","7:49","6:41","2","9","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","02:27.93","6","31.0","00:40:36","00:40:38","25","34"
Yoga,2023-04-12 06:07:53,false,"Yoga","0.00","72","00:15:18","107","127","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","15:18.48","1","32.0","00:00:00","00:15:18","--","--"
Running,2023-04-12 05:20:55,false,"Quan Thanh Khe Running","5.20","320","00:44:12","146","155","2.3","167","184","8:30","5:58","2","11","0.72","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","02:30.68","6","30.0","00:43:53","00:44:12","24","34"
Yoga,2023-04-11 06:10:48,false,"Yoga","0.00","56","00:13:30","101","122","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","13:30.41","1","32.0","00:00:00","00:13:30","--","--"
Running,2023-04-11 05:20:36,false,"Quan Thanh Khe Running","5.19","314","00:43:32","144","153","2.3","171","180","8:23","6:17","1","11","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","02:20.72","6","30.0","00:43:31","00:43:32","23","34"
Yoga,2023-04-09 07:15:09,false,"Yoga","0.00","75","00:15:20","109","128","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","15:19.54","1","31.0","00:00:00","00:15:20","--","--"
Running,2023-04-09 05:14:31,false,"Quan Thanh Khe Running","14.01","848","01:55:23","144","159","2.8","178","184","8:14","6:52","6","20","0.68","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","00:06.14","15","31.0","01:55:19","01:55:23","9","19"
Yoga,2023-04-08 06:29:30,false,"Yoga","0.00","72","00:15:16","107","124","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","15:15.85","1","32.0","00:00:00","00:15:16","--","--"
Running,2023-04-08 05:01:54,false,"Quan Hai Chau Running","9.34","566","01:18:23","148","158","2.4","172","182","8:24","6:12","1","16","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","04:11.63","10","31.0","01:18:20","01:18:23","18","33"
Yoga,2023-04-06 06:12:07,false,"Yoga","0.00","79","00:15:35","111","127","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","15:35.12","1","33.0","00:00:00","00:15:35","--","--"
Running,2023-04-06 05:08:52,false,"Quan Thanh Khe Running","7.44","463","01:00:16","150","160","2.8","172","180","8:06","6:12","5","16","0.72","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","04:56.05","8","31.0","01:00:15","01:00:16","22","34"
Yoga,2023-04-04 06:16:55,false,"Yoga","0.00","74","00:16:40","105","123","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","16:40.24","1","31.0","00:00:00","00:16:40","--","--"
Running,2023-04-04 05:15:11,false,"Quan Thanh Khe Running","7.44","467","00:58:34","150","166","3.0","175","186","7:52","6:01","4","16","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","04:58.02","8","30.0","00:58:26","00:58:34","21","33"
Yoga,2023-04-03 06:12:52,false,"Yoga","0.00","71","00:15:34","106","122","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","15:34.25","1","32.0","00:00:00","00:15:34","--","--"
Running,2023-04-03 05:10:40,false,"Quan Thanh Khe Running","7.47","465","00:58:38","148","159","3.0","174","186","7:51","5:22","3","17","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","05:12.48","8","29.0","00:58:37","00:58:38","20","34"
Yoga,2023-04-01 06:37:28,false,"Yoga","0.00","97","00:19:04","111","129","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","19:03.88","1","32.0","00:00:00","00:19:04","--","--"
Running,2023-04-01 05:12:10,false,"Quan Hai Chau Running","9.50","608","01:18:48","151","169","3.0","170","184","8:18","6:17","2","15","0.72","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","06:12.33","10","31.0","01:18:46","01:18:48","19","33"
Yoga,2023-03-31 06:00:09,false,"Yoga","0.00","71","00:15:34","105","122","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","15:33.79","1","32.0","00:00:00","00:15:34","--","--"
Running,2023-03-31 05:15:54,false,"Quan Thanh Khe Running","5.24","337","00:39:39","152","168","3.0","173","186","7:34","5:25","1","11","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","02:57.04","6","30.0","00:39:38","00:39:39","23","34"
Yoga,2023-03-29 06:10:17,false,"Yoga","0.00","65","00:15:05","103","119","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","15:05.39","1","31.0","00:00:00","00:15:05","--","--"
Running,2023-03-29 05:09:09,false,"Quan Thanh Khe Running","7.50","477","00:58:20","148","159","3.1","174","186","7:46","5:44","4","15","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","05:30.56","8","29.0","00:58:11","00:58:20","21","34"
Yoga,2023-03-28 06:14:15,false,"Yoga","0.00","73","00:15:55","106","126","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","15:55.26","1","32.0","00:00:00","00:15:55","--","--"
Running,2023-03-28 05:13:20,false,"Quan Hai Chau Running","7.53","478","00:59:09","149","163","3.1","169","184","7:51","6:23","2","16","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","06:13.71","8","30.0","00:59:06","00:59:09","20","34"
Yoga,2023-03-27 06:30:32,false,"Yoga","0.00","34","00:19:05","74","90","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","19:05.14","1","33.0","00:00:00","00:19:05","--","--"
Yoga,2023-03-26 06:47:19,false,"Yoga","0.00","80","00:16:49","108","125","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","16:48.92","1","32.0","00:00:00","00:16:49","--","--"
Running,2023-03-26 04:17:55,false,"Quan Thanh Khe Running","16.90","1,044","02:25:13","148","163","3.0","158","182","8:36","6:54","7","26","0.75","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","07:19.85","17","31.0","02:23:50","02:25:13","5","19"
Yoga,2023-03-24 06:16:54,false,"Yoga","0.00","143","00:31:12","109","140","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","31:12.03","1","33.0","00:00:00","00:31:12","--","--"
Running,2023-03-24 05:14:43,false,"Quan Thanh Khe Running","7.50","472","00:59:52","151","167","3.1","170","185","7:59","6:34","1","12","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","06:25.00","8","30.0","00:59:50","00:59:52","21","34"
Yoga,2023-03-22 06:18:09,false,"Yoga","0.00","87","00:14:48","117","130","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","14:47.68","1","33.0","00:00:00","00:14:48","--","--"
Running,2023-03-22 04:53:23,false,"Quan Thanh Khe Running","10.12","639","01:22:14","150","171","3.5","169","188","8:08","6:11","4","18","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","01:39.70","11","31.0","01:21:36","01:22:14","23","34"
Yoga,2023-03-21 21:33:41,false,"Yoga","0.00","39","00:15:02","83","101","0.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","15:02.44","1","32.0","00:00:00","00:15:02","--","--"
Yoga,2023-03-21 06:15:45,false,"Yoga","0.00","66","00:14:28","106","116","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","14:28.09","1","32.0","00:00:00","00:14:28","--","--"
Running,2023-03-21 04:48:57,false,"Quan Thanh Khe Running","10.11","622","01:24:08","145","158","2.8","168","180","8:20","6:59","3","14","0.72","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","01:26.29","11","30.0","01:23:34","01:24:08","23","34"
Yoga,2023-03-20 06:39:47,false,"Yoga","0.00","34","00:14:34","81","94","0.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","14:34.35","1","29.0","00:00:00","00:14:34","--","--"
Walking,2023-03-20 06:07:36,false,"Quan Thanh Khe Walking","2.69","144","00:30:34","93","109","0.6","109","246","11:21","8:28","1","4","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","07:35.66","3","31.0","00:30:29","00:30:34","9","14"
Yoga,2023-03-19 08:06:36,false,"Yoga","0.00","109","00:18:33","119","136","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","18:33.47","1","32.0","00:00:00","00:18:33","--","--"
Running,2023-03-19 03:45:03,false,"Quan Thanh Khe Running","28.46","1,722","04:10:06","151","164","3.2","159","188","8:47","6:44","17","42","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","05:43.99","29","31.0","04:07:59","04:10:06","4","20"
Yoga,2023-03-18 06:36:08,false,"Yoga","0.00","84","00:15:31","113","129","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","15:30.50","1","31.0","00:00:00","00:15:31","--","--"
Running,2023-03-18 05:12:08,false,"Quan Hai Chau Running","10.01","630","01:20:54","153","164","2.9","170","184","8:05","6:33","2","15","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","00:23.18","11","29.0","01:20:44","01:20:54","21","34"
Yoga,2023-03-16 05:59:16,false,"Yoga","0.00","61","00:16:43","96","119","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","16:42.90","1","31.0","00:00:00","00:16:43","--","--"
Running,2023-03-16 05:12:43,false,"Quan Thanh Khe Running","5.23","322","00:42:58","140","152","2.4","170","180","8:13","7:14","1","10","0.72","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","02:39.84","6","29.0","00:42:56","00:42:58","25","34"
Yoga,2023-03-15 06:13:16,false,"Yoga","0.00","71","00:14:42","107","120","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","14:42.46","1","31.0","00:00:00","00:14:42","--","--"
