Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-10-29 16:34:07,false,"Quan Thanh Khe Running","8.02","503","01:24:53","142","178","3.4","122","239","10:35","7:36","--","14","0.93","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","00:21.46","9","32.0","01:24:31","01:24:53","-28","-20"
Yoga,2023-10-29 06:17:08,false,"Yoga","0.00","68","00:17:51","101","119","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","17:50.85","1","32.0","00:00:00","00:17:51","--","--"
Running,2023-10-29 05:12:38,false,"Quan Thanh Khe Running","5.50","321","01:01:09","124","161","2.6","102","180","11:07","7:56","2","9","1.12","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","06:47.52","6","31.0","01:00:52","01:01:09","-17","-7"
Running,2023-10-28 05:06:54,false,"Quan Thanh Khe Running","5.38","311","00:58:42","114","151","2.6","66","180","10:55","6:20","1","11","1.62","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","05:03.87","6","31.0","00:58:27","00:58:42","-10","1"
Yoga,2023-10-25 06:15:24,false,"Yoga","0.00","64","00:13:39","110","131","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","13:38.64","1","32.0","00:00:00","00:13:39","--","--"
Running,2023-10-25 05:15:48,false,"Quan Thanh Khe Running","5.36","310","00:57:18","134","149","2.0","150","176","10:42","8:23","2","8","0.68","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","04:59.08","6","31.0","00:57:15","00:57:18","-114","-106"
Running,2023-10-22 16:37:53,false,"Quan Thanh Khe Running","7.16","438","01:16:01","141","167","3.2","139","180","10:37","7:02","3","3","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","02:38.93","8","33.0","01:15:13","01:16:01","-85","-80"
Running,2023-10-22 05:05:59,false,"Quan Thanh Khe Running","5.45","314","00:58:07","122","146","2.4","126","182","10:40","7:52","1","9","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","05:54.19","6","30.0","00:57:51","00:58:07","-82","-72"
Running,2023-10-21 17:22:49,false,"Quan Thanh Khe Running","6.17","359","01:08:07","124","157","2.5","126","248","11:03","7:07","2","10","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","02:53.72","7","31.0","01:07:07","01:08:07","-73","-67"
Running,2023-10-18 18:48:43,false,"Quan Thanh Khe Running","5.87","338","01:06:56","118","146","2.3","116","240","11:25","8:21","3","15","0.89","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","09:39.26","6","31.0","01:05:26","01:06:56","-41","-36"
Running,2023-10-17 18:49:21,false,"Quan Thanh Khe Running","4.37","233","00:53:47","100","131","1.4","66","249","12:17","6:37","3","10","1.26","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","05:02.32","5","30.0","00:53:41","00:53:47","-30","-20"
Running,2023-10-16 17:23:35,false,"Quan Thanh Khe Running","6.39","393","01:03:08","134","176","3.7","126","184","9:53","6:54","4","8","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","05:36.45","7","31.0","01:02:53","01:03:08","-2","2"
Running,2023-10-15 11:52:42,false,"Quan Thanh Khe Running","5.13","285","01:01:37","75","106","1.5","81","140","12:01","9:45","8","10","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","01:34.19","6","31.0","01:01:18","01:01:37","-33","-26"
Running,2023-10-14 19:19:48,false,"Running","4.25","216","00:41:41","118","139","2.1","134","183","9:49","8:56","2","10","0.86","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","02:52.74","5","31.0","00:41:39","00:41:41","-31","-22"
Running,2023-10-12 18:33:33,false,"Quan Thanh Khe Running","4.12","227","00:50:15","106","128","1.4","112","235","12:12","9:39","1","6","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","01:35.28","5","31.0","00:50:04","00:50:15","-4","1"
Running,2023-10-11 18:36:38,false,"Quan Thanh Khe Running","5.22","289","01:00:02","108","127","1.9","77","178","11:30","6:23","2","11","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","02:52.82","6","31.0","01:00:00","01:00:02","-10","--"
Yoga,2023-10-10 06:24:57,false,"Yoga","0.00","87","00:16:14","115","126","1.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","16:14.28","1","32.0","00:00:00","00:16:14","--","--"
Running,2023-10-10 05:00:57,false,"Morning Run","8.06","670","01:12:00","0","0","--","--","--","8:56","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","1","0.0","00:00:00","00:00:00","--","--"
Yoga,2023-10-08 06:48:49,false,"Yoga","0.00","73","00:15:19","109","124","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","15:18.91","1","32.0","00:00:00","00:15:19","--","--"
